状态,下单槽倒计时,槽Unix,市场,方向,入场价分,份数,扣款USD,策略,下单时间,结算时间,盈亏USD,平仓价分,浮动pct
止盈,02:08,1780212600,"BNB Up or Down - May 31, 3:30AM-3:35AM ET",DOWN,91,5.4347,5.0270,consensus90,2026/5/31 15:32:51,2026/5/31 15:32:51,+0.3533,99,+7.03
止盈,01:04,1780212000,"BNB Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,90,5.4945,5.0306,consensus90,2026/5/31 15:23:55,2026/5/31 15:24:58,+0.4090,99,+8.13
止盈,01:25,1780212000,"Hyperliquid Up or Down - May 31, 3:20AM-3:25AM E",DOWN,71,6.9444,5.0971,consensus90,2026/5/31 15:23:34,2026/5/31 15:23:49,+0.5279,81,+10.36
止盈,01:55,1780212000,"XRP Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,86,5.7471,5.0449,consensus90,2026/5/31 15:23:04,2026/5/31 15:23:34,+0.3574,94,+7.08
止盈,02:07,1780212000,"Bitcoin Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,90,5.4945,5.0306,consensus90,2026/5/31 15:22:52,2026/5/31 15:23:34,+0.2716,97,+5.40
止盈,02:07,1780212000,"Solana Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,90,5.4945,5.0306,consensus90,2026/5/31 15:22:52,2026/5/31 15:23:34,+0.2991,97,+5.95
止盈,02:07,1780212000,"Ethereum Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,92,5.3763,5.0234,consensus90,2026/5/31 15:22:52,2026/5/31 15:23:34,+0.2722,99,+5.42
止盈,02:07,1780212000,"Dogecoin Up or Down - May 31, 3:20AM-3:25AM ET",DOWN,73,6.8493,5.0924,consensus90,2026/5/31 15:22:52,2026/5/31 15:22:59,+0.4556,81,+8.95
赢,03:45,1780210800,"Solana Up or Down - May 31, 3:00AM-3:05AM ET",DOWN,79,6.2500,5.0698,consensus90,2026/5/31 15:01:14,2026/5/31 15:15:37,+1.1802,,
赢,03:45,1780210800,"Bitcoin Up or Down - May 31, 3:00AM-3:05AM ET",DOWN,84,5.8823,5.0520,consensus90,2026/5/31 15:01:14,2026/5/31 15:15:37,+0.8303,,
赢,03:45,1780210800,"Dogecoin Up or Down - May 31, 3:00AM-3:05AM ET",DOWN,88,5.6179,5.0362,consensus90,2026/5/31 15:01:14,2026/5/31 15:15:37,+0.5817,,
赢,03:45,1780210800,"Ethereum Up or Down - May 31, 3:00AM-3:05AM ET",DOWN,90,5.4945,5.0306,consensus90,2026/5/31 15:01:14,2026/5/31 15:15:37,+0.4639,,
赢,03:45,1780210800,"XRP Up or Down - May 31, 3:00AM-3:05AM ET",DOWN,92,5.3763,5.0234,consensus90,2026/5/31 15:01:14,2026/5/31 15:15:37,+0.3529,,
止盈,03:09,1780210200,"XRP Up or Down - May 31, 2:50AM-2:55AM ET",DOWN,94,5.2631,5.0163,consensus90,2026/5/31 14:51:50,2026/5/31 14:54:04,+0.1679,99,+3.35
止损,03:09,1780210200,"Bitcoin Up or Down - May 31, 2:50AM-2:55AM ET",DOWN,76,6.4935,5.0805,consensus90,2026/5/31 14:51:50,2026/5/31 14:53:25,-1.8662,50,-36.73
止损,03:09,1780210200,"Ethereum Up or Down - May 31, 2:50AM-2:55AM ET",DOWN,95,5.2083,5.0127,consensus90,2026/5/31 14:51:50,2026/5/31 14:53:25,-2.4085,50,-48.05
止盈,03:09,1780210200,"Hyperliquid Up or Down - May 31, 2:50AM-2:55AM E",DOWN,77,6.4102,5.0769,consensus90,2026/5/31 14:51:50,2026/5/31 14:52:01,+0.2756,84,+5.43
止损,03:09,1780210200,"Solana Up or Down - May 31, 2:50AM-2:55AM ET",DOWN,79,6.2500,5.0698,consensus90,2026/5/31 14:51:50,2026/5/31 14:51:55,-1.0386,65,-20.49
止损,03:09,1780210200,"Dogecoin Up or Down - May 31, 2:50AM-2:55AM ET",DOWN,77,6.4102,5.0756,consensus90,2026/5/31 14:51:50,2026/5/31 14:51:50,-1.0693,63,-21.07
止盈,01:22,1780209600,"Solana Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,79,6.2500,5.0698,consensus90,2026/5/31 14:43:37,2026/5/31 14:44:12,+0.3364,87,+6.64
止盈,01:33,1780209600,"XRP Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,88,5.6179,5.0377,consensus90,2026/5/31 14:43:26,2026/5/31 14:44:12,+0.2712,95,+5.38
止盈,01:33,1780209600,"Ethereum Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,75,6.6666,5.0851,consensus90,2026/5/31 14:43:26,2026/5/31 14:44:08,+0.8148,89,+16.02
止盈,01:33,1780209600,"Hyperliquid Up or Down - May 31, 2:40AM-2:45AM E",DOWN,96,5.1546,5.0073,consensus90,2026/5/31 14:43:26,2026/5/31 14:44:08,+0.0699,99,+1.40
止损,01:33,1780209600,"Bitcoin Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,80,6.1728,5.0663,consensus90,2026/5/31 14:43:26,2026/5/31 14:44:02,-1.5786,56,-31.16
止盈,01:33,1780209600,"BNB Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,97,5.1020,5.0055,consensus90,2026/5/31 14:43:26,2026/5/31 14:44:02,+0.0200,99,+0.40
止盈,01:33,1780209600,"Dogecoin Up or Down - May 31, 2:40AM-2:45AM ET",DOWN,77,6.4102,5.0769,consensus90,2026/5/31 14:43:26,2026/5/31 14:43:57,+0.2756,84,+5.43
